label,text
1,stora enso r shares rose 1 20 pct 11 84 eur upm kymmene also dragged higher rising 1 68 pct 17 56 eur real b added 2 38 pct 4 30 eur
0,1411 cet arcelormittal lost 7 26 eur 17 38 euronext paris coming lead blue chip fallers
1,helsinki thomson financial kone said four orders saudi arabia united arab emirates qatar worth 40 mln eur
1,metsaliitto said book minor gain less eur1 0 transaction
1,china based operation enable us fully leverage resources expertise wireless solutions also strengthen capability offer industry leading products customers china
1,finnish swedish construction markets still experiencing estimated 4 annual growth 2008
1,social plan negotiations part three year turn around program expected ensure salomon future competitiveness
0,cuts equivalent costs 35 45 employees target company said
1,net income life insurance doubled eur 6 8 mn eur 3 2 mn net income non life insurance rose eur 5 2 mn eur 1 5 mn corresponding period 2009
1,tailored solutions meet solel technical requirements result cost effective manufacturing highest quality reflectors
1,sponda plc stock exchange release 5 december 2006 15 45 eur 1 5 billion syndicated credit facility sponda sponda signed agreement one year syndicated credit facility total eur 1 5 billion
0,company previous estimate lower revenue year ago eur 93 9 million
0,arcelormittal chief executive officer lakshmi mittal already cut output furnaces
0,omx helsinki 25 ended 0 47 pct lower 3 150 55 omx helsinki 0 21 pct 10 736 42 1 523 bln eur turnover
1,ebitda eur116m compared eur115m corresponding ebitda margin 33
1,loyal customers found bank land index 8 0
1,sysopen digia signed agreement main shareholders sentera holding total 77 39 share capital votes sentera
0,hack extra nefarious tweets activated without clicked enough web surfers move mouse cursors
1,eurochem cfo andrey ilyin said facility marks another important step eurochem securing long term financing necessary potash strategic projects
1,new structure provides better communication faster decision making cost savings proha said
1,nokia elisa work together bring superior mobile gaming experience elisa customers
1,insurer anticipates share nordea net profit significant
1,finnish elevators escalators maker kone corporation said tuesday 18 march received major order sir robert mcalpine supply elevators escalators watermark place project city london
0,separate announcement helsinki stock exchange atria revealed company third quarter profits declined eur13 9 third quarter last year eur12 7 year q3
1,terms take agreement talvivaara cameco provide front investment maximum 60 million cover construction cost uranium extraction circuit
1,return investment 5 0 compared 0 4 1 2009
0,finnish sports equipment company amer sports said decided lay 370 workers salomon division france
0,operating loss increased eur 17mn loss eur 10 8 mn 2005
1,pretax profit rose eur 0 6 mn eur 0 4 mn corresponding period 2005
1,via agreement ramirent expand range equipment services delivers destia ramirent finland managing director kari aulasmaa said
1,finnish outokumpu technology awarded several new grinding technology contracts
1,new deal strengthened partnership telemig celular tecnomen started since beginning telemig prepaid operations
0,permanent layoffs plywood sawn timber sectors finnish company operations several domestic mills earlier year temporarily laid 1 200 workers save costs
1,full 2010 company expects net sales operating result improve previous year saying 2 operating result amount depend order intake end summer
1,russian export duties activate harvesting finland sales russia increase also
0,pretax profit decreased eur 33 8 mn eur 40 8 mn fourth quarter 2005
1,ceo erkki j rvinen happy company performance 2010
0,operating profit fourth quarter fell eur33m eur39m year earlier
1,according sepp nen new technology umts900 solution network building costs one third lower building 3 5 g networks operating 2 100 mhz frequency
1,one installed elevators double deck elevator enables efficient use building core space
1,nyrstar also agreed supply talvivaara 150 000 tonnes sulphuric acid per annum use talvivaara leaching process period supply zinc concentrate
1,elcoteq proven track record electronics manufacturing services ems global factory network coupled modern manufacturing equipment consistent systems processes
1,net sales however increase 2005
1,2015 target net sales set eur 1bn target return investment 20
1,profit taxes eur 0 1 mn compared eur 0 4 mn previous year
1,singapore icis 1 kemira indian water infrastructure firm 2 ivrcl agreed form join venture includes new inorganic coagulant manufacturing facility andhra pradesh state india finnish water treatment chemicals maker said tuesday
1,december alone members lithuanian brewers association sold total 20 3 million liters beer increase 1 9 percent sales 19 92 million liters december 2004
0,total number filling stations decrease recently
1,diluted earnings per share eps rose eur 0 52 versus eur 0 09
1,helsinki afx outokumpu said technology unit 28 mln eur contract bosnia herzegovina aluminij dd mostar upgrade anode plant
1,cdli highlights companies provided comprehensive response carbon disclosure project cdp information request
1,due rapid expansion market share tallink terms passenger carriage tallinna sadam port tallinn totaled 55 percent november 45 7 percent november 2005
0,finnish solutions provider affecto oyj hel afe1v said today slipped net loss eur 115 000 usd 152 000 second quarter 2010 profit eur 845 000 corresponding period year earlier
1,helsinki afx outokumpu technology said signed 3 5 mln eur agreement mongolia erdenet mining corporation engineering first hydrocopper plant built erdenet mine site
0,operating profit margin 8 3 compared 11 8 year earlier
1,estonia beer market overall grew three percent last year 130 million liters
1,finnish metal products company componenta oyj hel cth1v said today net loss narrowed eur 500 000 usd 680 000 last quarter 2010 eur 5 3 million period year earlier
0,operating profit fell eur 35 4 mn eur 68 8 mn 2007 including vessel sales gain eur 12 3 mn
1,operating profit net sales nine month period increased respectively 26 6 3 4 compared corresponding period 2006
1,reporting period net sales rose 8 year year eur64 3 due business acquisitions realized first half 2008 09 effect eur10 9 review period
1,finnish swedish tietoenator expanding business quickly russia
1,company expects net sales first half 2008 reach previous year level
1,new kveyt light variety suomalainen pekoni marketed atria brand name available consumers finland
1,board directors propose dividend eur0 12 per share 2010 eur0 08 per share paid 2009
1,pleased bjorn wahlroos accepted nomination
0,baltic countries sales fell 42 6
0,net sales fell 33 third quarter 2008 eur 130 5 mn
1,company net profit rose 11 4 year 82 2 million euros 2005 sales 686 5 million euros 13 8 year company said earlier
1,shares nokia corp rose thursday cell phone maker said third quarter earnings almost doubled share global handset market increased
1,would increase estimated sales 117 million last year
0,srv lowered net sales estimate whole 2008 due uncertainties housing sales
1,repeat order follow successfully installed 159 elevators delhi metro system kone spokeswoman told thomson financial news
1,finnish financial solutions developer basware corporation omx helsinki bas1v said tuesday 23 september deliver complete invoice automation solution large us engineering construction technical services organization
0,yit baltic sales first three quarters 2008 totaled 106 2 million euros representing drop 29 percent year year
1,adanac molybdenum canada ordered grinding technology molybdenum project british columbia canada shalkiya zinc kazakhstan awarded contract grinding technology shalkiya zinc lead project kazakhstan
1,commencing construction works pearl plaza significant step russian projects
1,acquiring rcp combine strong knowhow expertise solid local company
0,announcement pushed freenet shares 6 3 eur0 71 frankfurt trade eur10 65 investors gave hope united internet ag drillisch would pursue takeover breakup freenet
1,consumer products manufacturer fiskars corp open distribution warehouse center southaven creating 100 jobs
